   t   ,G_relax
   s   ,  GPa  
1.0000e-12,1.0000e+00
1.1885e-12,1.0000e+00
1.4125e-12,1.0000e+00
1.6788e-12,1.0000e+00
1.9953e-12,1.0000e+00
2.3714e-12,1.0000e+00
2.8184e-12,1.0000e+00
3.3497e-12,1.0000e+00
3.9811e-12,1.0000e+00
4.7315e-12,1.0000e+00
5.6234e-12,1.0000e+00
6.6834e-12,1.0000e+00
7.9433e-12,1.0000e+00
9.4406e-12,1.0000e+00
1.1220e-11,1.0000e+00
1.3335e-11,1.0000e+00
1.5849e-11,1.0000e+00
1.8836e-11,1.0000e+00
2.2387e-11,1.0000e+00
2.6607e-11,1.0000e+00
3.1623e-11,1.0000e+00
3.7584e-11,1.0000e+00
4.4668e-11,1.0000e+00
5.3088e-11,1.0000e+00
6.3096e-11,1.0000e+00
7.4989e-11,1.0000e+00
8.9125e-11,1.0000e+00
1.0593e-10,1.0000e+00
1.2589e-10,1.0000e+00
1.4962e-10,9.9999e-01
1.7783e-10,9.9999e-01
2.1135e-10,9.9999e-01
2.5119e-10,9.9999e-01
2.9854e-10,9.9999e-01
3.5481e-10,9.9999e-01
4.2170e-10,9.9999e-01
5.0119e-10,9.9999e-01
5.9566e-10,9.9998e-01
7.0795e-10,9.9998e-01
8.4140e-10,9.9998e-01
1.0000e-09,9.9998e-01
1.1885e-09,9.9997e-01
1.4125e-09,9.9997e-01
1.6788e-09,9.9997e-01
1.9953e-09,9.9996e-01
2.3714e-09,9.9996e-01
2.8184e-09,9.9995e-01
3.3497e-09,9.9995e-01
3.9811e-09,9.9994e-01
4.7315e-09,9.9993e-01
5.6234e-09,9.9992e-01
6.6834e-09,9.9991e-01
7.9433e-09,9.9990e-01
9.4406e-09,9.9988e-01
1.1220e-08,9.9987e-01
1.3335e-08,9.9985e-01
1.5849e-08,9.9983e-01
1.8836e-08,9.9981e-01
2.2387e-08,9.9978e-01
2.6607e-08,9.9975e-01
3.1623e-08,9.9972e-01
3.7584e-08,9.9968e-01
4.4668e-08,9.9963e-01
5.3088e-08,9.9958e-01
6.3096e-08,9.9953e-01
7.4989e-08,9.9946e-01
8.9125e-08,9.9939e-01
1.0593e-07,9.9931e-01
1.2589e-07,9.9921e-01
1.4962e-07,9.9911e-01
1.7783e-07,9.9899e-01
2.1135e-07,9.9885e-01
2.5119e-07,9.9869e-01
2.9854e-07,9.9851e-01
3.5481e-07,9.9831e-01
4.2170e-07,9.9808e-01
5.0119e-07,9.9782e-01
5.9566e-07,9.9753e-01
7.0795e-07,9.9719e-01
8.4140e-07,9.9681e-01
1.0000e-06,9.9637e-01
1.1885e-06,9.9588e-01
1.4125e-06,9.9532e-01
1.6788e-06,9.9468e-01
1.9953e-06,9.9395e-01
2.3714e-06,9.9312e-01
2.8184e-06,9.9218e-01
3.3497e-06,9.9111e-01
3.9811e-06,9.8988e-01
4.7315e-06,9.8849e-01
5.6234e-06,9.8691e-01
6.6834e-06,9.8510e-01
7.9433e-06,9.8303e-01
9.4406e-06,9.8068e-01
1.1220e-05,9.7799e-01
1.3335e-05,9.7492e-01
1.5849e-05,9.7141e-01
1.8836e-05,9.6739e-01
2.2387e-05,9.6280e-01
2.6607e-05,9.5755e-01
3.1623e-05,9.5155e-01
3.7584e-05,9.4467e-01
4.4668e-05,9.3681e-01
5.3088e-05,9.2782e-01
6.3096e-05,9.1755e-01
7.4989e-05,9.0584e-01
8.9125e-05,8.9251e-01
1.0593e-04,8.7736e-01
1.2589e-04,8.6023e-01
1.4962e-04,8.4093e-01
1.7783e-04,8.1931e-01
2.1135e-04,7.9525e-01
2.5119e-04,7.6869e-01
2.9854e-04,7.3962e-01
3.5481e-04,7.0814e-01
4.2170e-04,6.7445e-01
5.0119e-04,6.3882e-01
5.9566e-04,6.0165e-01
7.0795e-04,5.6340e-01
8.4140e-04,5.2458e-01
1.0000e-03,4.8572e-01
1.1885e-03,4.4735e-01
1.4125e-03,4.0994e-01
1.6788e-03,3.7391e-01
1.9953e-03,3.3959e-01
2.3714e-03,3.0724e-01
2.8184e-03,2.7700e-01
3.3497e-03,2.4898e-01
3.9811e-03,2.2319e-01
4.7315e-03,1.9959e-01
5.6234e-03,1.7813e-01
6.6834e-03,1.5869e-01
7.9433e-03,1.4115e-01
9.4406e-03,1.2539e-01
1.1220e-02,1.1125e-01
1.3335e-02,9.8616e-02
1.5849e-02,8.7338e-02
1.8836e-02,7.7293e-02
2.2387e-02,6.8359e-02
2.6607e-02,6.0424e-02
3.1623e-02,5.3385e-02
3.7584e-02,4.7145e-02
4.4668e-02,4.1621e-02
5.3088e-02,3.6731e-02
6.3096e-02,3.2408e-02
7.4989e-02,2.8586e-02
8.9125e-02,2.5210e-02
1.0593e-01,2.2228e-02
1.2589e-01,1.9596e-02
1.4962e-01,1.7273e-02
1.7783e-01,1.5224e-02
2.1135e-01,1.3416e-02
2.5119e-01,1.1822e-02
2.9854e-01,1.0416e-02
3.5481e-01,9.1769e-03
4.2170e-01,8.0845e-03
5.0119e-01,7.1217e-03
5.9566e-01,6.2733e-03
7.0795e-01,5.5256e-03
8.4140e-01,4.8669e-03
1.0000e+00,4.2865e-03
1.1885e+00,3.7752e-03
1.4125e+00,3.3247e-03
1.6788e+00,2.9280e-03
1.9953e+00,2.5784e-03
2.3714e+00,2.2706e-03
2.8184e+00,1.9995e-03
3.3497e+00,1.7607e-03
3.9811e+00,1.5503e-03
4.7315e+00,1.3651e-03
5.6234e+00,1.2020e-03
6.6834e+00,1.0583e-03
7.9433e+00,9.3184e-04
9.4406e+00,8.2044e-04
1.1220e+01,7.2235e-04
1.3335e+01,6.3597e-04
1.5849e+01,5.5991e-04
1.8836e+01,4.9293e-04
2.2387e+01,4.3396e-04
2.6607e+01,3.8203e-04
3.1623e+01,3.3631e-04
3.7584e+01,2.9606e-04
4.4668e+01,2.6062e-04
5.3088e+01,2.2941e-04
6.3096e+01,2.0194e-04
7.4989e+01,1.7775e-04
8.9125e+01,1.5646e-04
1.0593e+02,1.3771e-04
1.2589e+02,1.2120e-04
1.4962e+02,1.0667e-04
1.7783e+02,9.3883e-05
2.1135e+02,8.2624e-05
2.5119e+02,7.2712e-05
2.9854e+02,6.3987e-05
3.5481e+02,5.6307e-05
4.2170e+02,4.9547e-05
5.0119e+02,4.3597e-05
5.9566e+02,3.8359e-05
7.0795e+02,3.3750e-05
