   t   ,G_relax
   s   ,  GPa  
1.0000e-12,9.9995e-01
1.1885e-12,9.9994e-01
1.4125e-12,9.9994e-01
1.6788e-12,9.9993e-01
1.9953e-12,9.9993e-01
2.3714e-12,9.9992e-01
2.8184e-12,9.9992e-01
3.3497e-12,9.9991e-01
3.9811e-12,9.9990e-01
4.7315e-12,9.9989e-01
5.6234e-12,9.9989e-01
6.6834e-12,9.9988e-01
7.9433e-12,9.9987e-01
9.4406e-12,9.9985e-01
1.1220e-11,9.9984e-01
1.3335e-11,9.9983e-01
1.5849e-11,9.9981e-01
1.8836e-11,9.9979e-01
2.2387e-11,9.9977e-01
2.6607e-11,9.9975e-01
3.1623e-11,9.9973e-01
3.7584e-11,9.9970e-01
4.4668e-11,9.9967e-01
5.3088e-11,9.9964e-01
6.3096e-11,9.9960e-01
7.4989e-11,9.9957e-01
8.9125e-11,9.9952e-01
1.0593e-10,9.9947e-01
1.2589e-10,9.9942e-01
1.4962e-10,9.9936e-01
1.7783e-10,9.9930e-01
2.1135e-10,9.9923e-01
2.5119e-10,9.9915e-01
2.9854e-10,9.9906e-01
3.5481e-10,9.9897e-01
4.2170e-10,9.9886e-01
5.0119e-10,9.9875e-01
5.9566e-10,9.9862e-01
7.0795e-10,9.9848e-01
8.4140e-10,9.9833e-01
1.0000e-09,9.9816e-01
1.1885e-09,9.9798e-01
1.4125e-09,9.9778e-01
1.6788e-09,9.9756e-01
1.9953e-09,9.9732e-01
2.3714e-09,9.9706e-01
2.8184e-09,9.9678e-01
3.3497e-09,9.9647e-01
3.9811e-09,9.9614e-01
4.7315e-09,9.9577e-01
5.6234e-09,9.9538e-01
6.6834e-09,9.9495e-01
7.9433e-09,9.9449e-01
9.4406e-09,9.9399e-01
1.1220e-08,9.9346e-01
1.3335e-08,9.9288e-01
1.5849e-08,9.9225e-01
1.8836e-08,9.9159e-01
2.2387e-08,9.9087e-01
2.6607e-08,9.9010e-01
3.1623e-08,9.8928e-01
3.7584e-08,9.8840e-01
4.4668e-08,9.8747e-01
5.3088e-08,9.8647e-01
6.3096e-08,9.8541e-01
7.4989e-08,9.8428e-01
8.9125e-08,9.8308e-01
1.0593e-07,9.8181e-01
1.2589e-07,9.8047e-01
1.4962e-07,9.7906e-01
1.7783e-07,9.7756e-01
2.1135e-07,9.7599e-01
2.5119e-07,9.7433e-01
2.9854e-07,9.7259e-01
3.5481e-07,9.7076e-01
4.2170e-07,9.6885e-01
5.0119e-07,9.6684e-01
5.9566e-07,9.6475e-01
7.0795e-07,9.6257e-01
8.4140e-07,9.6030e-01
1.0000e-06,9.5793e-01
1.1885e-06,9.5547e-01
1.4125e-06,9.5291e-01
1.6788e-06,9.5026e-01
1.9953e-06,9.4752e-01
2.3714e-06,9.4468e-01
2.8184e-06,9.4175e-01
3.3497e-06,9.3873e-01
3.9811e-06,9.3561e-01
4.7315e-06,9.3240e-01
5.6234e-06,9.2909e-01
6.6834e-06,9.2569e-01
7.9433e-06,9.2220e-01
9.4406e-06,9.1862e-01
1.1220e-05,9.1495e-01
1.3335e-05,9.1119e-01
1.5849e-05,9.0733e-01
1.8836e-05,9.0339e-01
2.2387e-05,8.9935e-01
2.6607e-05,8.9523e-01
3.1623e-05,8.9101e-01
3.7584e-05,8.8670e-01
4.4668e-05,8.8229e-01
5.3088e-05,8.7780e-01
6.3096e-05,8.7320e-01
7.4989e-05,8.6851e-01
8.9125e-05,8.6371e-01
1.0593e-04,8.5881e-01
1.2589e-04,8.5380e-01
1.4962e-04,8.4868e-01
1.7783e-04,8.4345e-01
2.1135e-04,8.3809e-01
2.5119e-04,8.3261e-01
2.9854e-04,8.2699e-01
3.5481e-04,8.2124e-01
4.2170e-04,8.1534e-01
5.0119e-04,8.0928e-01
5.9566e-04,8.0307e-01
7.0795e-04,7.9669e-01
8.4140e-04,7.9012e-01
1.0000e-03,7.8337e-01
1.1885e-03,7.7643e-01
1.4125e-03,7.6927e-01
1.6788e-03,7.6190e-01
