   t   ,G_relax
   s   ,  GPa  
1.0000e-12,9.9649e-01
1.1885e-12,9.9609e-01
1.4125e-12,9.9566e-01
1.6788e-12,9.9520e-01
1.9953e-12,9.9471e-01
2.3714e-12,9.9418e-01
2.8184e-12,9.9363e-01
3.3497e-12,9.9304e-01
3.9811e-12,9.9241e-01
4.7315e-12,9.9176e-01
5.6234e-12,9.9107e-01
6.6834e-12,9.9035e-01
7.9433e-12,9.8961e-01
9.4406e-12,9.8883e-01
1.1220e-11,9.8802e-01
1.3335e-11,9.8719e-01
1.5849e-11,9.8632e-01
1.8836e-11,9.8543e-01
2.2387e-11,9.8452e-01
2.6607e-11,9.8357e-01
3.1623e-11,9.8261e-01
3.7584e-11,9.8161e-01
4.4668e-11,9.8059e-01
5.3088e-11,9.7955e-01
6.3096e-11,9.7849e-01
7.4989e-11,9.7740e-01
8.9125e-11,9.7629e-01
1.0593e-10,9.7516e-01
1.2589e-10,9.7402e-01
1.4962e-10,9.7285e-01
1.7783e-10,9.7166e-01
2.1135e-10,9.7046e-01
2.5119e-10,9.6924e-01
2.9854e-10,9.6800e-01
3.5481e-10,9.6675e-01
4.2170e-10,9.6548e-01
5.0119e-10,9.6420e-01
5.9566e-10,9.6290e-01
7.0795e-10,9.6159e-01
8.4140e-10,9.6027e-01
1.0000e-09,9.5893e-01
1.1885e-09,9.5759e-01
1.4125e-09,9.5623e-01
1.6788e-09,9.5486e-01
1.9953e-09,9.5348e-01
2.3714e-09,9.5209e-01
2.8184e-09,9.5069e-01
3.3497e-09,9.4928e-01
3.9811e-09,9.4786e-01
4.7315e-09,9.4643e-01
5.6234e-09,9.4499e-01
6.6834e-09,9.4354e-01
7.9433e-09,9.4208e-01
9.4406e-09,9.4061e-01
1.1220e-08,9.3913e-01
1.3335e-08,9.3764e-01
1.5849e-08,9.3614e-01
1.8836e-08,9.3462e-01
2.2387e-08,9.3310e-01
2.6607e-08,9.3157e-01
3.1623e-08,9.3002e-01
3.7584e-08,9.2846e-01
4.4668e-08,9.2689e-01
5.3088e-08,9.2530e-01
6.3096e-08,9.2370e-01
7.4989e-08,9.2208e-01
8.9125e-08,9.2044e-01
1.0593e-07,9.1879e-01
1.2589e-07,9.1712e-01
1.4962e-07,9.1543e-01
1.7783e-07,9.1372e-01
2.1135e-07,9.1199e-01
2.5119e-07,9.1023e-01
2.9854e-07,9.0845e-01
3.5481e-07,9.0665e-01
4.2170e-07,9.0481e-01
5.0119e-07,9.0295e-01
5.9566e-07,9.0106e-01
7.0795e-07,8.9914e-01
8.4140e-07,8.9718e-01
1.0000e-06,8.9519e-01
1.1885e-06,8.9316e-01
1.4125e-06,8.9110e-01
1.6788e-06,8.8899e-01
1.9953e-06,8.8684e-01
2.3714e-06,8.8465e-01
2.8184e-06,8.8241e-01
3.3497e-06,8.8012e-01
3.9811e-06,8.7778e-01
4.7315e-06,8.7539e-01
5.6234e-06,8.7295e-01
6.6834e-06,8.7045e-01
7.9433e-06,8.6789e-01
9.4406e-06,8.6526e-01
1.1220e-05,8.6258e-01
1.3335e-05,8.5983e-01
1.5849e-05,8.5701e-01
1.8836e-05,8.5412e-01
2.2387e-05,8.5116e-01
2.6607e-05,8.4812e-01
3.1623e-05,8.4500e-01
3.7584e-05,8.4180e-01
4.4668e-05,8.3852e-01
5.3088e-05,8.3516e-01
6.3096e-05,8.3170e-01
7.4989e-05,8.2816e-01
8.9125e-05,8.2452e-01
1.0593e-04,8.2078e-01
1.2589e-04,8.1695e-01
1.4962e-04,8.1302e-01
1.7783e-04,8.0898e-01
2.1135e-04,8.0484e-01
2.5119e-04,8.0058e-01
