   t   ,G_relax
   s   ,  GPa  
1.0000e-12,9.7941e-01
1.1885e-12,9.7884e-01
1.4125e-12,9.7826e-01
1.6788e-12,9.7767e-01
1.9953e-12,9.7705e-01
2.3714e-12,9.7643e-01
2.8184e-12,9.7578e-01
3.3497e-12,9.7512e-01
3.9811e-12,9.7444e-01
4.7315e-12,9.7374e-01
5.6234e-12,9.7302e-01
6.6834e-12,9.7229e-01
7.9433e-12,9.7153e-01
9.4406e-12,9.7076e-01
1.1220e-11,9.6996e-01
1.3335e-11,9.6915e-01
1.5849e-11,9.6831e-01
1.8836e-11,9.6745e-01
2.2387e-11,9.6657e-01
2.6607e-11,9.6566e-01
3.1623e-11,9.6473e-01
3.7584e-11,9.6378e-01
4.4668e-11,9.6280e-01
5.3088e-11,9.6180e-01
6.3096e-11,9.6077e-01
7.4989e-11,9.5971e-01
8.9125e-11,9.5863e-01
1.0593e-10,9.5752e-01
1.2589e-10,9.5638e-01
1.4962e-10,9.5521e-01
1.7783e-10,9.5401e-01
2.1135e-10,9.5278e-01
2.5119e-10,9.5152e-01
2.9854e-10,9.5023e-01
3.5481e-10,9.4890e-01
4.2170e-10,9.4754e-01
5.0119e-10,9.4615e-01
5.9566e-10,9.4472e-01
7.0795e-10,9.4326e-01
8.4140e-10,9.4176e-01
1.0000e-09,9.4022e-01
1.1885e-09,9.3865e-01
1.4125e-09,9.3703e-01
1.6788e-09,9.3538e-01
1.9953e-09,9.3369e-01
2.3714e-09,9.3195e-01
2.8184e-09,9.3017e-01
3.3497e-09,9.2835e-01
3.9811e-09,9.2649e-01
4.7315e-09,9.2458e-01
5.6234e-09,9.2263e-01
6.6834e-09,9.2063e-01
7.9433e-09,9.1858e-01
9.4406e-09,9.1648e-01
1.1220e-08,9.1434e-01
1.3335e-08,9.1214e-01
1.5849e-08,9.0990e-01
1.8836e-08,9.0760e-01
2.2387e-08,9.0525e-01
2.6607e-08,9.0285e-01
3.1623e-08,9.0039e-01
3.7584e-08,8.9787e-01
4.4668e-08,8.9531e-01
5.3088e-08,8.9268e-01
6.3096e-08,8.8999e-01
7.4989e-08,8.8725e-01
8.9125e-08,8.8445e-01
1.0593e-07,8.8158e-01
1.2589e-07,8.7866e-01
1.4962e-07,8.7567e-01
1.7783e-07,8.7262e-01
2.1135e-07,8.6951e-01
2.5119e-07,8.6633e-01
2.9854e-07,8.6308e-01
3.5481e-07,8.5977e-01
4.2170e-07,8.5639e-01
5.0119e-07,8.5295e-01
5.9566e-07,8.4943e-01
7.0795e-07,8.4585e-01
8.4140e-07,8.4220e-01
1.0000e-06,8.3847e-01
1.1885e-06,8.3468e-01
1.4125e-06,8.3081e-01
1.6788e-06,8.2687e-01
1.9953e-06,8.2286e-01
2.3714e-06,8.1878e-01
2.8184e-06,8.1463e-01
3.3497e-06,8.1040e-01
3.9811e-06,8.0609e-01
4.7315e-06,8.0171e-01
5.6234e-06,7.9726e-01
6.6834e-06,7.9273e-01
7.9433e-06,7.8813e-01
9.4406e-06,7.8346e-01
1.1220e-05,7.7870e-01
1.3335e-05,7.7388e-01
1.5849e-05,7.6898e-01
1.8836e-05,7.6401e-01
2.2387e-05,7.5896e-01
2.6607e-05,7.5384e-01
3.1623e-05,7.4864e-01
3.7584e-05,7.4337e-01
4.4668e-05,7.3803e-01
5.3088e-05,7.3262e-01
6.3096e-05,7.2714e-01
7.4989e-05,7.2159e-01
8.9125e-05,7.1596e-01
1.0593e-04,7.1027e-01
1.2589e-04,7.0451e-01
1.4962e-04,6.9869e-01
1.7783e-04,6.9280e-01
2.1135e-04,6.8685e-01
2.5119e-04,6.8083e-01
2.9854e-04,6.7475e-01
3.5481e-04,6.6861e-01
4.2170e-04,6.6241e-01
5.0119e-04,6.5616e-01
5.9566e-04,6.4985e-01
7.0795e-04,6.4349e-01
8.4140e-04,6.3707e-01
1.0000e-03,6.3060e-01
1.1885e-03,6.2409e-01
1.4125e-03,6.1753e-01
1.6788e-03,6.1092e-01
1.9953e-03,6.0427e-01
2.3714e-03,5.9758e-01
2.8184e-03,5.9085e-01
3.3497e-03,5.8409e-01
3.9811e-03,5.7728e-01
4.7315e-03,5.7045e-01
5.6234e-03,5.6358e-01
6.6834e-03,5.5668e-01
7.9433e-03,5.4976e-01
9.4406e-03,5.4281e-01
1.1220e-02,5.3583e-01
1.3335e-02,5.2883e-01
1.5849e-02,5.2180e-01
1.8836e-02,5.1475e-01
2.2387e-02,5.0768e-01
2.6607e-02,5.0058e-01
3.1623e-02,4.9346e-01
3.7584e-02,4.8631e-01
4.4668e-02,4.7913e-01
5.3088e-02,4.7191e-01
6.3096e-02,4.6466e-01
7.4989e-02,4.5736e-01
8.9125e-02,4.5000e-01
1.0593e-01,4.4257e-01
1.2589e-01,4.3506e-01
1.4962e-01,4.2743e-01
1.7783e-01,4.1968e-01
2.1135e-01,4.1175e-01
2.5119e-01,4.0362e-01
2.9854e-01,3.9523e-01
3.5481e-01,3.8651e-01
4.2170e-01,3.7739e-01
5.0119e-01,3.6777e-01
5.9566e-01,3.5754e-01
7.0795e-01,3.4659e-01
8.4140e-01,3.3476e-01
1.0000e+00,3.2194e-01
1.1885e+00,3.0798e-01
1.4125e+00,2.9279e-01
1.6788e+00,2.7634e-01
1.9953e+00,2.5867e-01
2.3714e+00,2.3992e-01
2.8184e+00,2.2038e-01
3.3497e+00,2.0039e-01
3.9811e+00,1.8039e-01
4.7315e+00,1.6081e-01
5.6234e+00,1.4207e-01
6.6834e+00,1.2450e-01
7.9433e+00,1.0833e-01
9.4406e+00,9.3682e-02
1.1220e+01,8.0603e-02
