   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8714e-07,9.9652e-05
1.0351e-04,6.2101e-07,1.0315e-04
1.0715e-04,6.5684e-07,1.0676e-04
1.1092e-04,6.9473e-07,1.1051e-04
1.1482e-04,7.3481e-07,1.1438e-04
1.1885e-04,7.7720e-07,1.1839e-04
1.2303e-04,8.2203e-07,1.2254e-04
1.2735e-04,8.6946e-07,1.2684e-04
1.3183e-04,9.1961e-07,1.3128e-04
1.3646e-04,9.7266e-07,1.3588e-04
1.4125e-04,1.0288e-06,1.4064e-04
1.4622e-04,1.0881e-06,1.4557e-04
1.5136e-04,1.1509e-06,1.5067e-04
1.5668e-04,1.2173e-06,1.5595e-04
1.6218e-04,1.2875e-06,1.6142e-04
1.6788e-04,1.3618e-06,1.6707e-04
1.7378e-04,1.4404e-06,1.7293e-04
1.7989e-04,1.5234e-06,1.7898e-04
1.8621e-04,1.6113e-06,1.8525e-04
1.9275e-04,1.7043e-06,1.9174e-04
1.9953e-04,1.8026e-06,1.9846e-04
2.0654e-04,1.9066e-06,2.0541e-04
2.1380e-04,2.0166e-06,2.1260e-04
2.2131e-04,2.1329e-06,2.2005e-04
2.2909e-04,2.2560e-06,2.2775e-04
2.3714e-04,2.3861e-06,2.3572e-04
2.4547e-04,2.5237e-06,2.4397e-04
2.5410e-04,2.6693e-06,2.5251e-04
2.6303e-04,2.8233e-06,2.6135e-04
2.7227e-04,2.9861e-06,2.7050e-04
2.8184e-04,3.1584e-06,2.7996e-04
2.9174e-04,3.3406e-06,2.8976e-04
3.0200e-04,3.5332e-06,2.9990e-04
3.1261e-04,3.7370e-06,3.1039e-04
3.2359e-04,3.9526e-06,3.2125e-04
3.3497e-04,4.1805e-06,3.3248e-04
3.4674e-04,4.4217e-06,3.4411e-04
3.5892e-04,4.6767e-06,3.5614e-04
3.7154e-04,4.9464e-06,3.6860e-04
3.8459e-04,5.2316e-06,3.8148e-04
3.9811e-04,5.5333e-06,3.9482e-04
4.1210e-04,5.8524e-06,4.0862e-04
4.2658e-04,6.1899e-06,4.2290e-04
4.4157e-04,6.5468e-06,4.3768e-04
4.5709e-04,6.9243e-06,4.5297e-04
4.7315e-04,7.3235e-06,4.6879e-04
4.8978e-04,7.7458e-06,4.8517e-04
5.0699e-04,8.1923e-06,5.0211e-04
5.2481e-04,8.6646e-06,5.1965e-04
5.4325e-04,9.1641e-06,5.3779e-04
5.6234e-04,9.6923e-06,5.5656e-04
5.8210e-04,1.0251e-05,5.7599e-04
6.0256e-04,1.0842e-05,5.9609e-04
6.2373e-04,1.1467e-05,6.1689e-04
6.4565e-04,1.2128e-05,6.3841e-04
6.6834e-04,1.2826e-05,6.6068e-04
6.9183e-04,1.3565e-05,6.8372e-04
7.1614e-04,1.4347e-05,7.0757e-04
7.4131e-04,1.5174e-05,7.3224e-04
7.6736e-04,1.6048e-05,7.5776e-04
7.9433e-04,1.6972e-05,7.8417e-04
8.2224e-04,1.7950e-05,8.1149e-04
8.5114e-04,1.8984e-05,8.3976e-04
8.8105e-04,2.0077e-05,8.6901e-04
9.1201e-04,2.1233e-05,8.9927e-04
9.4406e-04,2.2456e-05,9.3058e-04
9.7724e-04,2.3749e-05,9.6298e-04
1.0116e-03,2.5116e-05,9.9649e-04
1.0471e-03,2.6561e-05,1.0312e-03
1.0839e-03,2.8090e-05,1.0670e-03
1.1220e-03,2.9707e-05,1.1041e-03
1.1614e-03,3.1416e-05,1.1425e-03
1.2023e-03,3.3223e-05,1.1822e-03
1.2445e-03,3.5135e-05,1.2233e-03
1.2882e-03,3.7155e-05,1.2658e-03
1.3335e-03,3.9292e-05,1.3098e-03
1.3804e-03,4.1552e-05,1.3553e-03
1.4289e-03,4.3940e-05,1.4023e-03
1.4791e-03,4.6466e-05,1.4510e-03
1.5311e-03,4.9137e-05,1.5013e-03
1.5849e-03,5.1960e-05,1.5534e-03
1.6406e-03,5.4946e-05,1.6072e-03
1.6982e-03,5.8102e-05,1.6629e-03
1.7579e-03,6.1439e-05,1.7205e-03
1.8197e-03,6.4967e-05,1.7801e-03
1.8836e-03,6.8697e-05,1.8418e-03
1.9498e-03,7.2640e-05,1.9055e-03
2.0184e-03,7.6808e-05,1.9714e-03
2.0893e-03,8.1215e-05,2.0396e-03
2.1627e-03,8.5874e-05,2.1101e-03
2.2387e-03,9.0798e-05,2.1831e-03
2.3174e-03,9.6004e-05,2.2585e-03
2.3988e-03,1.0151e-04,2.3364e-03
2.4831e-03,1.0732e-04,2.4171e-03
2.5704e-03,1.1347e-04,2.5005e-03
2.6607e-03,1.1997e-04,2.5867e-03
2.7542e-03,1.2684e-04,2.6759e-03
2.8510e-03,1.3410e-04,2.7680e-03
2.9512e-03,1.4177e-04,2.8633e-03
3.0549e-03,1.4988e-04,2.9619e-03
3.1623e-03,1.5845e-04,3.0638e-03
3.2734e-03,1.6751e-04,3.1691e-03
3.3884e-03,1.7708e-04,3.2780e-03
3.5075e-03,1.8719e-04,3.3906e-03
3.6308e-03,1.9788e-04,3.5069e-03
3.7584e-03,2.0918e-04,3.6272e-03
3.8905e-03,2.2111e-04,3.7516e-03
4.0272e-03,2.3372e-04,3.8801e-03
4.1687e-03,2.4704e-04,4.0129e-03
4.3152e-03,2.6112e-04,4.1502e-03
4.4668e-03,2.7599e-04,4.2921e-03
4.6238e-03,2.9170e-04,4.4388e-03
4.7863e-03,3.0830e-04,4.5903e-03
4.9545e-03,3.2584e-04,4.7469e-03
5.1286e-03,3.4436e-04,4.9088e-03
5.3088e-03,3.6392e-04,5.0760e-03
5.4954e-03,3.8458e-04,5.2487e-03
5.6885e-03,4.0640e-04,5.4272e-03
5.8884e-03,4.2945e-04,5.6116e-03
6.0954e-03,4.5379e-04,5.8021e-03
6.3096e-03,4.7950e-04,5.9989e-03
6.5313e-03,5.0664e-04,6.2022e-03
6.7608e-03,5.3530e-04,6.4121e-03
6.9984e-03,5.6556e-04,6.6290e-03
7.2444e-03,5.9750e-04,6.8529e-03
7.4989e-03,6.3123e-04,7.0842e-03
7.7625e-03,6.6683e-04,7.3230e-03
8.0353e-03,7.0441e-04,7.5696e-03
8.3176e-03,7.4408e-04,7.8242e-03
8.6099e-03,7.8594e-04,8.0870e-03
8.9125e-03,8.3013e-04,8.3583e-03
9.2257e-03,8.7675e-04,8.6384e-03
9.5499e-03,9.2595e-04,8.9275e-03
9.8855e-03,9.7786e-04,9.2259e-03
1.0233e-02,1.0326e-03,9.5338e-03
1.0593e-02,1.0904e-03,9.8515e-03
1.0965e-02,1.1513e-03,1.0179e-02
1.1350e-02,1.2156e-03,1.0518e-02
1.1749e-02,1.2834e-03,1.0867e-02
1.2162e-02,1.3549e-03,1.1226e-02
1.2589e-02,1.4303e-03,1.1598e-02
1.3032e-02,1.5098e-03,1.1981e-02
1.3490e-02,1.5935e-03,1.2375e-02
1.3964e-02,1.6819e-03,1.2782e-02
1.4454e-02,1.7750e-03,1.3202e-02
1.4962e-02,1.8731e-03,1.3635e-02
1.5488e-02,1.9764e-03,1.4080e-02
1.6032e-02,2.0854e-03,1.4540e-02
1.6596e-02,2.2001e-03,1.5013e-02
1.7179e-02,2.3210e-03,1.5501e-02
1.7783e-02,2.4483e-03,1.6003e-02
1.8408e-02,2.5824e-03,1.6521e-02
1.9055e-02,2.7236e-03,1.7054e-02
1.9724e-02,2.8722e-03,1.7603e-02
2.0417e-02,3.0286e-03,1.8168e-02
2.1135e-02,3.1932e-03,1.8749e-02
2.1878e-02,3.3665e-03,1.9348e-02
2.2646e-02,3.5488e-03,1.9964e-02
2.3442e-02,3.7405e-03,2.0597e-02
2.4266e-02,3.9422e-03,2.1249e-02
2.5119e-02,4.1543e-03,2.1919e-02
2.6002e-02,4.3772e-03,2.2608e-02
2.6915e-02,4.6116e-03,2.3316e-02
2.7861e-02,4.8579e-03,2.4044e-02
2.8840e-02,5.1167e-03,2.4792e-02
2.9854e-02,5.3887e-03,2.5560e-02
3.0903e-02,5.6742e-03,2.6350e-02
3.1989e-02,5.9741e-03,2.7160e-02
3.3113e-02,6.2889e-03,2.7992e-02
3.4277e-02,6.6194e-03,2.8845e-02
3.5481e-02,6.9661e-03,2.9721e-02
3.6728e-02,7.3299e-03,3.0620e-02
3.8019e-02,7.7114e-03,3.1541e-02
3.9355e-02,8.1114e-03,3.2485e-02
4.0738e-02,8.5308e-03,3.3453e-02
4.2170e-02,8.9703e-03,3.4444e-02
4.3652e-02,9.4307e-03,3.5460e-02
