   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,-4.8233e-05,6.2204e-04
1.1885e-04,-3.2405e-04,5.5376e-04
1.4125e-04,1.2826e-04,8.6403e-04
1.6788e-04,8.0635e-05,1.0427e-03
1.9953e-04,7.1778e-05,1.2417e-03
2.3714e-04,7.3062e-05,1.4760e-03
2.8184e-04,7.9900e-05,1.7535e-03
3.3497e-04,9.1394e-05,2.0825e-03
3.9811e-04,1.0782e-04,2.4726e-03
4.7315e-04,1.3011e-04,2.9353e-03
5.6234e-04,1.5973e-04,3.4838e-03
6.6834e-04,1.9878e-04,4.1338e-03
7.9433e-04,2.5011e-04,4.9040e-03
9.4406e-04,3.1755e-04,5.8162e-03
1.1220e-03,4.0623e-04,6.8958e-03
1.3335e-03,5.2296e-04,8.1729e-03
1.5849e-03,6.7685e-04,9.6824e-03
1.8836e-03,8.7999e-04,1.1465e-02
2.2387e-03,1.1485e-03,1.3568e-02
2.6607e-03,1.5036e-03,1.6046e-02
3.1623e-03,1.9735e-03,1.8960e-02
3.7584e-03,2.5956e-03,2.2382e-02
4.4668e-03,3.4186e-03,2.6389e-02
5.3088e-03,4.5065e-03,3.1070e-02
6.3096e-03,5.9423e-03,3.6517e-02
7.4989e-03,7.8325e-03,4.2828e-02
8.9125e-03,1.0313e-02,5.0100e-02
1.0593e-02,1.3553e-02,5.8422e-02
1.2589e-02,1.7760e-02,6.7866e-02
1.4962e-02,2.3185e-02,7.8471e-02
1.7783e-02,3.0115e-02,9.0227e-02
2.1135e-02,3.8868e-02,1.0305e-01
2.5119e-02,4.9776e-02,1.1677e-01
2.9854e-02,6.3150e-02,1.3108e-01
3.5481e-02,7.9245e-02,1.4560e-01
4.2170e-02,9.8203e-02,1.5979e-01
5.0119e-02,1.2001e-01,1.7307e-01
5.9566e-02,1.4446e-01,1.8482e-01
7.0795e-02,1.7115e-01,1.9448e-01
8.4140e-02,1.9949e-01,2.0163e-01
1.0000e-01,2.2880e-01,2.0604e-01
1.1885e-01,2.5836e-01,2.0768e-01
1.4125e-01,2.8752e-01,2.0674e-01
1.6788e-01,3.1572e-01,2.0353e-01
1.9953e-01,3.4258e-01,1.9848e-01
2.3714e-01,3.6783e-01,1.9205e-01
2.8184e-01,3.9139e-01,1.8467e-01
3.3497e-01,4.1324e-01,1.7672e-01
3.9811e-01,4.3346e-01,1.6852e-01
4.7315e-01,4.5218e-01,1.6032e-01
5.6234e-01,4.6952e-01,1.5230e-01
6.6834e-01,4.8565e-01,1.4459e-01
7.9433e-01,5.0070e-01,1.3727e-01
9.4406e-01,5.1482e-01,1.3038e-01
1.1220e+00,5.2811e-01,1.2394e-01
1.3335e+00,5.4068e-01,1.1795e-01
1.5849e+00,5.5262e-01,1.1240e-01
1.8836e+00,5.6401e-01,1.0726e-01
2.2387e+00,5.7492e-01,1.0251e-01
2.6607e+00,5.8538e-01,9.8125e-02
3.1623e+00,5.9546e-01,9.4066e-02
3.7584e+00,6.0519e-01,9.0307e-02
4.4668e+00,6.1459e-01,8.6820e-02
5.3088e+00,6.2370e-01,8.3578e-02
6.3096e+00,6.3253e-01,8.0559e-02
7.4989e+00,6.4111e-01,7.7739e-02
8.9125e+00,6.4945e-01,7.5099e-02
1.0593e+01,6.5756e-01,7.2620e-02
1.2589e+01,6.6546e-01,7.0285e-02
1.4962e+01,6.7315e-01,6.8082e-02
1.7783e+01,6.8064e-01,6.5997e-02
2.1135e+01,6.8794e-01,6.4018e-02
2.5119e+01,6.9506e-01,6.2136e-02
2.9854e+01,7.0200e-01,6.0343e-02
3.5481e+01,7.0877e-01,5.8629e-02
4.2170e+01,7.1537e-01,5.6990e-02
5.0119e+01,7.2181e-01,5.5418e-02
5.9566e+01,7.2809e-01,5.3909e-02
7.0795e+01,7.3421e-01,5.2458e-02
8.4140e+01,7.4017e-01,5.1061e-02
1.0000e+02,7.4599e-01,4.9715e-02
1.1885e+02,7.5166e-01,4.8416e-02
1.4125e+02,7.5719e-01,4.7163e-02
1.6788e+02,7.6258e-01,4.5951e-02
1.9953e+02,7.6784e-01,4.4780e-02
2.3714e+02,7.7296e-01,4.3647e-02
2.8184e+02,7.7794e-01,4.2550e-02
3.3497e+02,7.8281e-01,4.1489e-02
3.9811e+02,7.8754e-01,4.0461e-02
4.7315e+02,7.9216e-01,3.9465e-02
5.6234e+02,7.9665e-01,3.8500e-02
6.6834e+02,8.0103e-01,3.7565e-02
7.9433e+02,8.0529e-01,3.6660e-02
9.4406e+02,8.0945e-01,3.5782e-02
1.1220e+03,8.1349e-01,3.4931e-02
1.3335e+03,8.1744e-01,3.4106e-02
1.5849e+03,8.2127e-01,3.3307e-02
1.8836e+03,8.2501e-01,3.2532e-02
2.2387e+03,8.2865e-01,3.1781e-02
2.6607e+03,8.3220e-01,3.1054e-02
3.1623e+03,8.3565e-01,3.0349e-02
3.7584e+03,8.3902e-01,2.9665e-02
4.4668e+03,8.4230e-01,2.9003e-02
5.3088e+03,8.4550e-01,2.8361e-02
6.3096e+03,8.4861e-01,2.7739e-02
7.4989e+03,8.5165e-01,2.7137e-02
8.9125e+03,8.5461e-01,2.6553e-02
