   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,1.5765e-05,6.1942e-04
1.1885e-04,2.1035e-05,7.3481e-04
1.4125e-04,2.8055e-05,8.7148e-04
1.6788e-04,3.7402e-05,1.0333e-03
1.9953e-04,4.9837e-05,1.2247e-03
2.3714e-04,6.6367e-05,1.4510e-03
2.8184e-04,8.8321e-05,1.7184e-03
3.3497e-04,1.1745e-04,2.0340e-03
3.9811e-04,1.5603e-04,2.4062e-03
4.7315e-04,2.0709e-04,2.8446e-03
5.6234e-04,2.7453e-04,3.3601e-03
6.6834e-04,3.6343e-04,3.9656e-03
7.9433e-04,4.8037e-04,4.6751e-03
9.4406e-04,6.3379e-04,5.5048e-03
1.1220e-03,8.3448e-04,6.4725e-03
1.3335e-03,1.0961e-03,7.5976e-03
1.5849e-03,1.4358e-03,8.9012e-03
1.8836e-03,1.8750e-03,1.0405e-02
2.2387e-03,2.4397e-03,1.2132e-02
2.6607e-03,3.1615e-03,1.4103e-02
3.1623e-03,4.0779e-03,1.6338e-02
3.7584e-03,5.2325e-03,1.8854e-02
4.4668e-03,6.6746e-03,2.1662e-02
5.3088e-03,8.4585e-03,2.4764e-02
6.3096e-03,1.0642e-02,2.8156e-02
7.4989e-03,1.3283e-02,3.1819e-02
8.9125e-03,1.6437e-02,3.5723e-02
1.0593e-02,2.0154e-02,3.9826e-02
1.2589e-02,2.4473e-02,4.4074e-02
1.4962e-02,2.9419e-02,4.8405e-02
1.7783e-02,3.5002e-02,5.2752e-02
2.1135e-02,4.1214e-02,5.7049e-02
2.5119e-02,4.8029e-02,6.1235e-02
2.9854e-02,5.5410e-02,6.5259e-02
3.5481e-02,6.3307e-02,6.9082e-02
4.2170e-02,7.1666e-02,7.2678e-02
5.0119e-02,8.0431e-02,7.6038e-02
5.9566e-02,8.9550e-02,7.9163e-02
7.0795e-02,9.8974e-02,8.2066e-02
8.4140e-02,1.0866e-01,8.4766e-02
1.0000e-01,1.1859e-01,8.7289e-02
1.1885e-01,1.2872e-01,8.9660e-02
1.4125e-01,1.3905e-01,9.1906e-02
1.6788e-01,1.4956e-01,9.4051e-02
1.9953e-01,1.6026e-01,9.6119e-02
2.3714e-01,1.7113e-01,9.8127e-02
2.8184e-01,1.8218e-01,1.0009e-01
3.3497e-01,1.9342e-01,1.0202e-01
3.9811e-01,2.0485e-01,1.0393e-01
4.7315e-01,2.1648e-01,1.0581e-01
5.6234e-01,2.2831e-01,1.0768e-01
6.6834e-01,2.4036e-01,1.0953e-01
7.9433e-01,2.5261e-01,1.1135e-01
9.4406e-01,2.6508e-01,1.1314e-01
1.1220e+00,2.7776e-01,1.1489e-01
1.3335e+00,2.9066e-01,1.1659e-01
1.5849e+00,3.0377e-01,1.1824e-01
1.8836e+00,3.1708e-01,1.1983e-01
2.2387e+00,3.3060e-01,1.2133e-01
2.6607e+00,3.4430e-01,1.2275e-01
3.1623e+00,3.5819e-01,1.2406e-01
3.7584e+00,3.7225e-01,1.2526e-01
4.4668e+00,3.8647e-01,1.2634e-01
5.3088e+00,4.0082e-01,1.2728e-01
6.3096e+00,4.1529e-01,1.2808e-01
7.4989e+00,4.2987e-01,1.2873e-01
8.9125e+00,4.4453e-01,1.2922e-01
1.0593e+01,4.5926e-01,1.2954e-01
1.2589e+01,4.7402e-01,1.2969e-01
1.4962e+01,4.8880e-01,1.2966e-01
1.7783e+01,5.0358e-01,1.2945e-01
2.1135e+01,5.1832e-01,1.2906e-01
2.5119e+01,5.3301e-01,1.2848e-01
2.9854e+01,5.4762e-01,1.2773e-01
3.5481e+01,5.6213e-01,1.2679e-01
4.2170e+01,5.7652e-01,1.2568e-01
5.0119e+01,5.9076e-01,1.2440e-01
5.9566e+01,6.0483e-01,1.2296e-01
7.0795e+01,6.1872e-01,1.2136e-01
8.4140e+01,6.3239e-01,1.1961e-01
1.0000e+02,6.4584e-01,1.1772e-01
1.1885e+02,6.5905e-01,1.1569e-01
1.4125e+02,6.7199e-01,1.1355e-01
1.6788e+02,6.8467e-01,1.1130e-01
1.9953e+02,6.9706e-01,1.0895e-01
2.3714e+02,7.0915e-01,1.0650e-01
2.8184e+02,7.2094e-01,1.0399e-01
3.3497e+02,7.3242e-01,1.0140e-01
3.9811e+02,7.4357e-01,9.8762e-02
4.7315e+02,7.5441e-01,9.6078e-02
5.6234e+02,7.6491e-01,9.3360e-02
6.6834e+02,7.7509e-01,9.0619e-02
7.9433e+02,7.8494e-01,8.7863e-02
9.4406e+02,7.9446e-01,8.5102e-02
1.1220e+03,8.0365e-01,8.2345e-02
1.3335e+03,8.1251e-01,7.9600e-02
1.5849e+03,8.2105e-01,7.6873e-02
1.8836e+03,8.2927e-01,7.4173e-02
2.2387e+03,8.3718e-01,7.1505e-02
2.6607e+03,8.4479e-01,6.8875e-02
3.1623e+03,8.5209e-01,6.6288e-02
3.7584e+03,8.5909e-01,6.3749e-02
4.4668e+03,8.6581e-01,6.1262e-02
5.3088e+03,8.7225e-01,5.8829e-02
6.3096e+03,8.7841e-01,5.6454e-02
7.4989e+03,8.8431e-01,5.4140e-02
8.9125e+03,8.8996e-01,5.1888e-02
1.0593e+04,8.9535e-01,4.9699e-02
1.2589e+04,9.0051e-01,4.7576e-02
1.4962e+04,9.0543e-01,4.5518e-02
1.7783e+04,9.1013e-01,4.3526e-02
2.1135e+04,9.1461e-01,4.1601e-02
2.5119e+04,9.1888e-01,3.9742e-02
2.9854e+04,9.2296e-01,3.7949e-02
3.5481e+04,9.2684e-01,3.6220e-02
4.2170e+04,9.3054e-01,3.4557e-02
5.0119e+04,9.3406e-01,3.2956e-02
5.9566e+04,9.3742e-01,3.1418e-02
7.0795e+04,9.4061e-01,2.9941e-02
8.4140e+04,9.4364e-01,2.8524e-02
1.0000e+05,9.4653e-01,2.7165e-02
1.1885e+05,9.4928e-01,2.5863e-02
1.4125e+05,9.5189e-01,2.4616e-02
1.6788e+05,9.5437e-01,2.3422e-02
1.9953e+05,9.5672e-01,2.2281e-02
2.3714e+05,9.5896e-01,2.1190e-02
2.8184e+05,9.6109e-01,2.0147e-02
3.3497e+05,9.6311e-01,1.9152e-02
3.9811e+05,9.6503e-01,1.8201e-02
4.7315e+05,9.6685e-01,1.7295e-02
5.6234e+05,9.6858e-01,1.6430e-02
6.6834e+05,9.7022e-01,1.5606e-02
7.9433e+05,9.7177e-01,1.4820e-02
9.4406e+05,9.7325e-01,1.4072e-02
1.1220e+06,9.7465e-01,1.3359e-02
1.3335e+06,9.7598e-01,1.2680e-02
1.5849e+06,9.7724e-01,1.2035e-02
1.8836e+06,9.7844e-01,1.1420e-02
2.2387e+06,9.7957e-01,1.0836e-02
2.6607e+06,9.8065e-01,1.0280e-02
3.1623e+06,9.8166e-01,9.7517e-03
3.7584e+06,9.8263e-01,9.2495e-03
4.4668e+06,9.8355e-01,8.7722e-03
5.3088e+06,9.8441e-01,8.3188e-03
6.3096e+06,9.8524e-01,7.8880e-03
7.4989e+06,9.8602e-01,7.4790e-03
8.9125e+06,9.8676e-01,7.0905e-03
1.0593e+07,9.8746e-01,6.7217e-03
1.2589e+07,9.8812e-01,6.3716e-03
1.4962e+07,9.8875e-01,6.0393e-03
1.7783e+07,9.8934e-01,5.7239e-03
2.1135e+07,9.8991e-01,5.4247e-03
2.5119e+07,9.9044e-01,5.1408e-03
2.9854e+07,9.9095e-01,4.8715e-03
3.5481e+07,9.9143e-01,4.6160e-03
4.2170e+07,9.9188e-01,4.3737e-03
5.0119e+07,9.9232e-01,4.1440e-03
5.9566e+07,9.9272e-01,3.9261e-03
7.0795e+07,9.9311e-01,3.7195e-03
8.4140e+07,9.9348e-01,3.5236e-03
1.0000e+08,9.9382e-01,3.3380e-03
1.1885e+08,9.9415e-01,3.1619e-03
1.4125e+08,9.9446e-01,2.9951e-03
1.6788e+08,9.9476e-01,2.8370e-03
1.9953e+08,9.9503e-01,2.6871e-03
2.3714e+08,9.9530e-01,2.5451e-03
2.8184e+08,9.9555e-01,2.4105e-03
3.3497e+08,9.9579e-01,2.2830e-03
3.9811e+08,9.9601e-01,2.1622e-03
4.7315e+08,9.9622e-01,2.0477e-03
5.6234e+08,9.9642e-01,1.9392e-03
6.6834e+08,9.9661e-01,1.8364e-03
7.9433e+08,9.9679e-01,1.7391e-03
9.4406e+08,9.9696e-01,1.6469e-03
1.1220e+09,9.9713e-01,1.5595e-03
1.3335e+09,9.9728e-01,1.4767e-03
1.5849e+09,9.9742e-01,1.3984e-03
1.8836e+09,9.9756e-01,1.3241e-03
2.2387e+09,9.9769e-01,1.2538e-03
2.6607e+09,9.9781e-01,1.1872e-03
3.1623e+09,9.9793e-01,1.1241e-03
3.7584e+09,9.9804e-01,1.0644e-03
4.4668e+09,9.9815e-01,1.0078e-03
5.3088e+09,9.9824e-01,9.5421e-04
6.3096e+09,9.9834e-01,9.0347e-04
7.4989e+09,9.9843e-01,8.5542e-04
8.9125e+09,9.9851e-01,8.0991e-04
1.0593e+10,9.9859e-01,7.6682e-04
1.2589e+10,9.9866e-01,7.2602e-04
1.4962e+10,9.9874e-01,6.8738e-04
1.7783e+10,9.9880e-01,6.5079e-04
2.1135e+10,9.9887e-01,6.1615e-04
2.5119e+10,9.9893e-01,5.8335e-04
2.9854e+10,9.9898e-01,5.5229e-04
3.5481e+10,9.9904e-01,5.2288e-04
4.2170e+10,9.9909e-01,4.9503e-04
5.0119e+10,9.9914e-01,4.6866e-04
5.9566e+10,9.9918e-01,4.4370e-04
7.0795e+10,9.9923e-01,4.2006e-04
8.4140e+10,9.9927e-01,3.9768e-04
1.0000e+11,9.9931e-01,3.7649e-04
