   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,1.1662e-05,6.2139e-04
1.1885e-04,1.5437e-05,7.3757e-04
1.4125e-04,2.0432e-05,8.7534e-04
1.6788e-04,2.7041e-05,1.0387e-03
1.9953e-04,3.5783e-05,1.2322e-03
2.3714e-04,4.7342e-05,1.4615e-03
2.8184e-04,6.2624e-05,1.7330e-03
3.3497e-04,8.2817e-05,2.0543e-03
3.9811e-04,1.0949e-04,2.4344e-03
4.7315e-04,1.4470e-04,2.8838e-03
5.6234e-04,1.9116e-04,3.4147e-03
6.6834e-04,2.5241e-04,4.0414e-03
7.9433e-04,3.3310e-04,4.7803e-03
9.4406e-04,4.3927e-04,5.6507e-03
1.1220e-03,5.7883e-04,6.6746e-03
1.3335e-03,7.6199e-04,7.8773e-03
1.5849e-03,1.0020e-03,9.2875e-03
1.8836e-03,1.3159e-03,1.0937e-02
2.2387e-03,1.7255e-03,1.2863e-02
2.6607e-03,2.2585e-03,1.5105e-02
3.1623e-03,2.9501e-03,1.7705e-02
3.7584e-03,3.8441e-03,2.0709e-02
4.4668e-03,4.9948e-03,2.4164e-02
5.3088e-03,6.4687e-03,2.8116e-02
6.3096e-03,8.3458e-03,3.2606e-02
7.4989e-03,1.0721e-02,3.7670e-02
8.9125e-03,1.3702e-02,4.3333e-02
1.0593e-02,1.7413e-02,4.9599e-02
1.2589e-02,2.1986e-02,5.6452e-02
1.4962e-02,2.7559e-02,6.3846e-02
1.7783e-02,3.4269e-02,7.1703e-02
2.1135e-02,4.2236e-02,7.9908e-02
2.5119e-02,5.1560e-02,8.8311e-02
2.9854e-02,6.2303e-02,9.6732e-02
3.5481e-02,7.4481e-02,1.0497e-01
4.2170e-02,8.8055e-02,1.1283e-01
5.0119e-02,1.0294e-01,1.2010e-01
5.9566e-02,1.1898e-01,1.2661e-01
7.0795e-02,1.3601e-01,1.3225e-01
8.4140e-02,1.5383e-01,1.3690e-01
1.0000e-01,1.7221e-01,1.4055e-01
1.1885e-01,1.9096e-01,1.4320e-01
1.4125e-01,2.0988e-01,1.4489e-01
1.6788e-01,2.2881e-01,1.4570e-01
1.9953e-01,2.4760e-01,1.4572e-01
2.3714e-01,2.6617e-01,1.4506e-01
2.8184e-01,2.8441e-01,1.4383e-01
3.3497e-01,3.0229e-01,1.4211e-01
3.9811e-01,3.1976e-01,1.4000e-01
4.7315e-01,3.3679e-01,1.3760e-01
5.6234e-01,3.5339e-01,1.3496e-01
6.6834e-01,3.6955e-01,1.3214e-01
7.9433e-01,3.8527e-01,1.2920e-01
9.4406e-01,4.0055e-01,1.2618e-01
1.1220e+00,4.1542e-01,1.2311e-01
1.3335e+00,4.2987e-01,1.2002e-01
1.5849e+00,4.4391e-01,1.1693e-01
1.8836e+00,4.5756e-01,1.1385e-01
2.2387e+00,4.7083e-01,1.1080e-01
2.6607e+00,4.8372e-01,1.0780e-01
3.1623e+00,4.9624e-01,1.0484e-01
3.7584e+00,5.0840e-01,1.0194e-01
4.4668e+00,5.2022e-01,9.9110e-02
5.3088e+00,5.3169e-01,9.6343e-02
6.3096e+00,5.4284e-01,9.3649e-02
7.4989e+00,5.5366e-01,9.1030e-02
8.9125e+00,5.6416e-01,8.8491e-02
1.0593e+01,5.7436e-01,8.6033e-02
1.2589e+01,5.8426e-01,8.3658e-02
1.4962e+01,5.9388e-01,8.1367e-02
1.7783e+01,6.0323e-01,7.9163e-02
2.1135e+01,6.1230e-01,7.7046e-02
2.5119e+01,6.2113e-01,7.5016e-02
